function,num_of_calls,could_panic,is_gard
eq,383,0,0
abi_encode,195,0,0
add,135,1,0
new,89,0,0
get,69,0,0
multiply,63,0,0
abi_decode,61,0,0
read,60,1,0
require,53,1,1
subtract,51,0,0
unwrap,48,1,1
encode,48,0,0
len,47,0,0
write,42,1,0
ptr,41,0,0
as_raw_slice,40,0,0
not,38,0,0
field_id,38,0,0
decode,38,0,0
log,36,0,0
try_read,35,0,0
sha256,35,0,0
gt,34,0,0
lt,33,0,0
unwrap_or,32,0,0
hash,29,0,0
revert,28,0,0
insert,28,0,0
from,27,0,0
rsh,24,0,0
as_u256,24,0,0
alloc,23,0,0
reentrancy_guard,20,1,1
slot_calculator,18,0,0
neq,17,0,0
only_owner,15,1,1
ge,15,0,0
slot,14,0,0
require_not_paused,14,1,1
offset,14,0,0
le,14,0,0
divide,13,0,0
from_parts,11,0,0
alloc_bytes,11,0,0
msg_sender,10,0,0
modulo,10,0,0
lsh,9,0,0
unlock_amount,8,1,0
read_matcher_fee,8,1,0
as_b256,8,0,0
read_epoch,7,0,0
is_none,7,0,0
zero,6,0,0
with_capacity,6,0,0
transfer_locked_amount,6,1,0
open_order_internal,6,1,0
offset_calculator,6,0,0
non_limit_order_type,6,1,0
into,6,0,0
binary_or,6,0,0
assert,6,1,1
read_min_order_size,5,1,0
read_min_order_price,5,1,0
protocol_fee_user,5,1,0
_owner,5,1,0
max,5,0,0
market_order,5,1,0
into_parts,5,0,0
copy_to,5,0,0
copy_bytes_to,5,0,0
capacity,5,0,0
as_u64,5,0,0
add_uint_offset,5,0,0
withdraw_internal,4,1,0
this,4,0,0
push,4,0,0
min,4,0,0
match_order_internal,4,1,0
load_vec,4,1,0
is_some,4,0,0
height,4,0,0
flags,4,0,0
distance,4,0,0
deposit_internal,4,1,0
debit,4,1,0
credit,4,1,0
contract_call,4,0,0
cancel_order_internal,4,1,0
bits,4,0,0
as_u32,4,0,0
tx_type,3,0,0
transfer_ownership,3,1,0
timestamp,3,0,0
remove_order,3,1,0
remove,3,1,0
realloc_bytes,3,0,0
read_epoch_duration,3,0,0
read_8_bytes,3,1,0
quote_of_base_amount,3,1,0
protocol_fee_user_amount,3,1,0
output_type,3,0,0
number_of_bytes,3,0,0
max_protocol_fee_of_amount,3,1,0
input_type,3,0,0
initialize_ownership,3,1,0
id,3,0,0
grow,3,0,0
clear,3,0,0
cancel_if_small_order,3,1,0
binary_and,3,0,0
valid_order_amount,2,1,0
_unpause,2,1,0
transfer,2,1,0
store_vec,2,1,0
require_paused,2,1,1
realloc,2,0,0
read_order,2,1,0
protocol_fee_of_amount,2,1,0
_pause,2,1,0
panic_on_unsafe_math_enabled,2,0,0
owner,2,1,0
output_count,2,0,0
next,2,0,0
mul_div,2,0,0
matcher_fee_of_amount,2,1,0
lts,2,0,0
lock_order_amount,2,1,0
lock_amount,2,1,0
is_volume_threshold_valid,2,1,0
_is_paused,2,1,0
is_null,2,0,0
is_maker,2,1,0
input_count,2,0,0
increase_user_volume,2,1,0
get_previous_frame_pointer,2,0,0
cancel_read_order,2,1,0
as_ptr,2,0,0
write_byte,1,0,0
withdraw_to_market,1,1,0
withdraw,1,1,0
user_orders,1,1,0
user_order_height,1,1,0
update_order_storage,1,1,0
update,1,1,0
unpause,1,1,0
tx_id,1,0,0
transfer_to_address,1,1,0
timestamp_of_block,1,0,0
swap_remove,1,1,0
set_protocol_fee,1,1,0
set_min_order_size,1,1,0
set_min_order_price,1,1,0
set_matcher_fee,1,1,0
set_flags,1,0,0
set_epoch,1,0,0
read_bytes,1,1,0
read_32_bytes,1,1,0
protocol_taker_fee_of_amount,1,1,0
protocol_maker_fee_of_amount,1,1,0
protocol_fee,1,1,0
pow,1,0,0
pop,1,0,0
pause,1,1,0
panic_on_overflow_is_enabled,1,0,0
panic_on_overflow_enabled,1,0,0
owner_identity,1,1,0
overflowing_mul,1,0,0
output_pointer,1,0,0
output_amount,1,0,0
order_id,1,1,0
order,1,1,0
open_order,1,1,0
open_market_order,1,1,0
next_order_height,1,1,0
msg_asset_id,1,0,0
msg_amount,1,0,0
min_order_size,1,1,0
min_order_price,1,1,0
match_order_many,1,1,0
matcher_fee,1,1,0
last,1,0,0
iter,1,0,0
is_reentrant,1,1,0
is_paused,1,1,0
input_message_recipient,1,0,0
input_coin_owner,1,0,0
get_volume_protocol_fee,1,1,0
get_epoch,1,0,0
get_contract_id_from_call_frame,1,0,0
get_asset_type,1,0,0
get_asset_id,1,0,0
fulfill_order_many,1,1,0
from_second_parameter,1,0,0
from_first_parameter,1,0,0
frame_ptr,1,0,0
force_transfer_to_contract,1,1,0
extend_epoch_if_finished,1,0,0
execute_trade,1,1,0
emit_match_events,1,1,0
disable_panic_on_overflow,1,0,0
deposit_for,1,1,0
deposit,1,1,0
decode_first_param,1,0,0
convert_asset_amount,1,1,0
config,1,1,0
cancel_small_order,1,1,0
cancel_order,1,1,0
caller_is_external,1,1,0
caller_contract_id,1,0,0
caller_address,1,0,0
balance,1,1,0
append,1,0,0
account,1,0,0